Lipid_name,Delivery_target,Comment,Total_radiance,Isocyanide,Amine,Aldehyde,Carboxylic_acid
A1I18R1C18,liver,,281000,He_4CR_I18,He_4CR_R1,He_4CR_A1,He_4CR_C18
A1I18R1C18-1,liver,,16100000,He_4CR_I18,He_4CR_R1,He_4CR_A1,He_4CR_C18-1
A1I18R1C18-2,liver,,8310000,He_4CR_I18,He_4CR_R1,He_4CR_A1,He_4CR_C18-2
A1I18R1C18-3,liver,,72800000,He_4CR_I18,He_4CR_R1,He_4CR_A1,He_4CR_C18-3
A1I18R1C23,liver,,28600000,He_4CR_I18,He_4CR_R1,He_4CR_A1,He_4CR_C23
A1I18R2C18,liver,,825000,He_4CR_I18,He_4CR_R2,He_4CR_A1,He_4CR_C18
A1I18R2C18-1,liver,,971000,He_4CR_I18,He_4CR_R2,He_4CR_A1,He_4CR_C18-1
A1I18R2C18-2,liver,,2200000,He_4CR_I18,He_4CR_R2,He_4CR_A1,He_4CR_C18-2
A1I18R2C18-3,liver,,2200000,He_4CR_I18,He_4CR_R2,He_4CR_A1,He_4CR_C18-3
A1I18R2C23,liver,,10100000,He_4CR_I18,He_4CR_R2,He_4CR_A1,He_4CR_C23
A1I18R3C18,liver,,188000,He_4CR_I18,He_4CR_R3,He_4CR_A1,He_4CR_C18
A1I18R3C18-1,liver,,415000,He_4CR_I18,He_4CR_R3,He_4CR_A1,He_4CR_C18-1
A1I18R3C18-2,liver,,4910000,He_4CR_I18,He_4CR_R3,He_4CR_A1,He_4CR_C18-2
A1I18R3C18-3,liver,,822000,He_4CR_I18,He_4CR_R3,He_4CR_A1,He_4CR_C18-3
A1I18R3C23,liver,,1870000,He_4CR_I18,He_4CR_R3,He_4CR_A1,He_4CR_C23
A1I18R5C18,liver,,57000,He_4CR_I18,He_4CR_R5,He_4CR_A1,He_4CR_C18
A1I18R5C18-1,liver,,38900,He_4CR_I18,He_4CR_R5,He_4CR_A1,He_4CR_C18-1
A1I18R5C18-2,liver,,73900,He_4CR_I18,He_4CR_R5,He_4CR_A1,He_4CR_C18-2
A1I18R5C18-3,liver,,1060000,He_4CR_I18,He_4CR_R5,He_4CR_A1,He_4CR_C18-3
A1I18R5C23,liver,,258000,He_4CR_I18,He_4CR_R5,He_4CR_A1,He_4CR_C23
A4I18R1C18,liver,,12100000,He_4CR_I18,He_4CR_R1,He_4CR_A4,He_4CR_C18
A4I18R1C18-1,liver,,444000000,He_4CR_I18,He_4CR_R1,He_4CR_A4,He_4CR_C18-1
A4I18R1C18-2,liver,,325000000,He_4CR_I18,He_4CR_R1,He_4CR_A4,He_4CR_C18-2
A4I18R1C18-3,liver,,127000000,He_4CR_I18,He_4CR_R1,He_4CR_A4,He_4CR_C18-3
A4I18R1C23,liver,,61400000,He_4CR_I18,He_4CR_R1,He_4CR_A4,He_4CR_C23
A4I18R2C18,liver,,20300000,He_4CR_I18,He_4CR_R2,He_4CR_A4,He_4CR_C18
A4I18R2C18-1,liver,,405000000,He_4CR_I18,He_4CR_R2,He_4CR_A4,He_4CR_C18-1
A4I18R2C18-2,liver,,659000000,He_4CR_I18,He_4CR_R2,He_4CR_A4,He_4CR_C18-2
A4I18R2C18-3,liver,,426000000,He_4CR_I18,He_4CR_R2,He_4CR_A4,He_4CR_C18-3
A4I18R2C23,liver,,281000000,He_4CR_I18,He_4CR_R2,He_4CR_A4,He_4CR_C23
A4I18R3C18,liver,,52000000,He_4CR_I18,He_4CR_R3,He_4CR_A4,He_4CR_C18
A4I18R3C18-1,liver,,441000000,He_4CR_I18,He_4CR_R3,He_4CR_A4,He_4CR_C18-1
A4I18R3C18-2,liver,,808000000,He_4CR_I18,He_4CR_R3,He_4CR_A4,He_4CR_C18-2
A4I18R3C18-3,liver,,461000000,He_4CR_I18,He_4CR_R3,He_4CR_A4,He_4CR_C18-3
A4I18R3C23,liver,,185000000,He_4CR_I18,He_4CR_R3,He_4CR_A4,He_4CR_C23
A4I18R5C18,liver,,124000,He_4CR_I18,He_4CR_R5,He_4CR_A4,He_4CR_C18
A4I18R5C18-1,liver,,40400,He_4CR_I18,He_4CR_R5,He_4CR_A4,He_4CR_C18-1
A4I18R5C18-2,liver,,1740000,He_4CR_I18,He_4CR_R5,He_4CR_A4,He_4CR_C18-2
A4I18R5C18-3,liver,,1400000,He_4CR_I18,He_4CR_R5,He_4CR_A4,He_4CR_C18-3
A4I18R5C23,liver,,155000,He_4CR_I18,He_4CR_R5,He_4CR_A4,He_4CR_C23
A23I18R1C18,liver,,3470000,He_4CR_I18,He_4CR_R1,He_4CR_A23,He_4CR_C18
A23I18R1C18-1,liver,,200000000,He_4CR_I18,He_4CR_R1,He_4CR_A23,He_4CR_C18-1
A23I18R1C18-2,liver,,255000000,He_4CR_I18,He_4CR_R1,He_4CR_A23,He_4CR_C18-2
A23I18R1C18-3,liver,,145000000,He_4CR_I18,He_4CR_R1,He_4CR_A23,He_4CR_C18-3
A23I18R1C23,liver,,180000000,He_4CR_I18,He_4CR_R1,He_4CR_A23,He_4CR_C23
A23I18R2C18,liver,,11400000,He_4CR_I18,He_4CR_R2,He_4CR_A23,He_4CR_C18
A23I18R2C18-1,liver,,28300000,He_4CR_I18,He_4CR_R2,He_4CR_A23,He_4CR_C18-1
A23I18R2C18-2,liver,,50400000,He_4CR_I18,He_4CR_R2,He_4CR_A23,He_4CR_C18-2
A23I18R2C18-3,liver,,32900000,He_4CR_I18,He_4CR_R2,He_4CR_A23,He_4CR_C18-3
A23I18R2C23,liver,,74000000,He_4CR_I18,He_4CR_R2,He_4CR_A23,He_4CR_C23
A23I18R3C18,liver,,110000,He_4CR_I18,He_4CR_R3,He_4CR_A23,He_4CR_C18
A23I18R3C18-1,liver,,43200000,He_4CR_I18,He_4CR_R3,He_4CR_A23,He_4CR_C18-1
A23I18R3C18-2,liver,,156000000,He_4CR_I18,He_4CR_R3,He_4CR_A23,He_4CR_C18-2
A23I18R3C18-3,liver,,44700000,He_4CR_I18,He_4CR_R3,He_4CR_A23,He_4CR_C18-3
A23I18R3C23,liver,,20600000,He_4CR_I18,He_4CR_R3,He_4CR_A23,He_4CR_C23
A23I18R5C18,liver,,63000,He_4CR_I18,He_4CR_R5,He_4CR_A23,He_4CR_C18
A23I18R5C18-1,liver,,71300,He_4CR_I18,He_4CR_R5,He_4CR_A23,He_4CR_C18-1
A23I18R5C18-2,liver,,287000,He_4CR_I18,He_4CR_R5,He_4CR_A23,He_4CR_C18-2
A23I18R5C18-3,liver,,781000,He_4CR_I18,He_4CR_R5,He_4CR_A23,He_4CR_C18-3
A23I18R5C23,liver,,58700,He_4CR_I18,He_4CR_R5,He_4CR_A23,He_4CR_C23
A4I18R4C18-2,liver,,546000,He_4CR_I18,He_4CR_R4,He_4CR_A4,He_4CR_C18-2
A4I18R7C18-2,liver,,33400,He_4CR_I18,He_4CR_R7,He_4CR_A4,He_4CR_C18-2
A4I18R9C18-2,liver,,3950000,He_4CR_I18,He_4CR_R9,He_4CR_A4,He_4CR_C18-2
A4I18R10C18-2,liver,,34900000,He_4CR_I18,He_4CR_R10,He_4CR_A4,He_4CR_C18-2
A4I18R11C18-2,liver,,61400000,He_4CR_I18,He_4CR_R11,He_4CR_A4,He_4CR_C18-2
A0I18R2C18-2,liver,,131000,He_4CR_I18,He_4CR_R2,He_4CR_A0,He_4CR_C18-2
A2I18R2C18-2 ,liver,,38700000,He_4CR_I18,He_4CR_R2,He_4CR_A2,He_4CR_C18-2
A3I18R2C18-2 ,liver,,344000000,He_4CR_I18,He_4CR_R2,He_4CR_A3,He_4CR_C18-2
A5I18R2C18-2 ,liver,,59100000,He_4CR_I18,He_4CR_R2,He_4CR_A5,He_4CR_C18-2
A24I18R2C18-2 ,liver,,436000,He_4CR_I18,He_4CR_R2,He_4CR_A24,He_4CR_C18-2
A4I18R2C10-6 ,liver,,44200000,He_4CR_I18,He_4CR_R2,He_4CR_A4,He_4CR_C10-6
A4I10R2C18-2 ,liver,,61200000,He_4CR_I10,He_4CR_R2,He_4CR_A4,He_4CR_C18-2
A4I14R2C18-2 ,liver,,41300000,He_4CR_I14,He_4CR_R2,He_4CR_A4,He_4CR_C18-2
A4I18-1R2C17-S ,liver,,241000000,He_4CR_I18-1,He_4CR_R2,He_4CR_A4,He_4CR_C17-S
A4I18-1R2C70 ,liver,,182000,He_4CR_I18-1,He_4CR_R2,He_4CR_A4,He_4CR_C70
A1I4R2C18 ,spleen,,147000,He_4CR_I4,He_4CR_R2,He_4CR_A1,He_4CR_C18
A1I4R2C18-1 ,spleen,,140000,He_4CR_I4,He_4CR_R2,He_4CR_A1,He_4CR_C18-1
A1I4R2C18-2 ,spleen,,39900,He_4CR_I4,He_4CR_R2,He_4CR_A1,He_4CR_C18-2
A4I4R2C18 ,spleen,,21000,He_4CR_I4,He_4CR_R2,He_4CR_A4,He_4CR_C18
A4I4R2C18-1 ,spleen,,8810,He_4CR_I4,He_4CR_R2,He_4CR_A4,He_4CR_C18-1
A4I4R2C18-2 ,spleen,,133000,He_4CR_I4,He_4CR_R2,He_4CR_A4,He_4CR_C18-2
A21I4R2C18 ,spleen,,8920,He_4CR_I4,He_4CR_R2,He_4CR_A21,He_4CR_C18
A21I4R2C18-1 ,spleen,,9490,He_4CR_I4,He_4CR_R2,He_4CR_A21,He_4CR_C18-1
A21I4R2C18-2 ,spleen,,18600,He_4CR_I4,He_4CR_R2,He_4CR_A21,He_4CR_C18-2
A23I4R2C18 ,spleen,,7890,He_4CR_I4,He_4CR_R2,He_4CR_A23,He_4CR_C18
A23I4R2C18-1 ,spleen,,16000,He_4CR_I4,He_4CR_R2,He_4CR_A23,He_4CR_C18-1
A23I4R2C18-2 ,spleen,,26000,He_4CR_I4,He_4CR_R2,He_4CR_A23,He_4CR_C18-2
A1I4R13C18 ,spleen,,8130,He_4CR_I4,He_4CR_R13,He_4CR_A1,He_4CR_C18
A1I4R13C18-1 ,spleen,,31500,He_4CR_I4,He_4CR_R13,He_4CR_A1,He_4CR_C18-1
A1I4R13C18-2 ,spleen,,195000,He_4CR_I4,He_4CR_R13,He_4CR_A1,He_4CR_C18-2
A4I4R13C18 ,spleen,,29800,He_4CR_I4,He_4CR_R13,He_4CR_A4,He_4CR_C18
A4I4R13C18-1 ,spleen,,12600,He_4CR_I4,He_4CR_R13,He_4CR_A4,He_4CR_C18-1
A4I4R13C18-2 ,spleen,,112000,He_4CR_I4,He_4CR_R13,He_4CR_A4,He_4CR_C18-2
A21I4R13C18 ,spleen,,10300,He_4CR_I4,He_4CR_R13,He_4CR_A21,He_4CR_C18
A21I4R13C18-1 ,spleen,,10200,He_4CR_I4,He_4CR_R13,He_4CR_A21,He_4CR_C18-1
A21I4R13C18-2 ,spleen,,12900,He_4CR_I4,He_4CR_R13,He_4CR_A21,He_4CR_C18-2
A23I4R13C18 ,spleen,,8610,He_4CR_I4,He_4CR_R13,He_4CR_A23,He_4CR_C18
A23I4R13C18-1 ,spleen,,6070,He_4CR_I4,He_4CR_R13,He_4CR_A23,He_4CR_C18-1
A23I4R13C18-2 ,spleen,,82800,He_4CR_I4,He_4CR_R13,He_4CR_A23,He_4CR_C18-2
A1I4R21C18 ,spleen,,270000,He_4CR_I4,He_4CR_R21,He_4CR_A1,He_4CR_C18
A1I4R21C18-1 ,spleen,,2190000,He_4CR_I4,He_4CR_R21,He_4CR_A1,He_4CR_C18-1
A1I4R21C18-2 ,spleen,,6720000,He_4CR_I4,He_4CR_R21,He_4CR_A1,He_4CR_C18-2
A4I4R21C18 ,spleen,,190000,He_4CR_I4,He_4CR_R21,He_4CR_A4,He_4CR_C18
A4I4R21C18-1 ,spleen,,370000,He_4CR_I4,He_4CR_R21,He_4CR_A4,He_4CR_C18-1
A4I4R21C18-2 ,spleen,,169000,He_4CR_I4,He_4CR_R21,He_4CR_A4,He_4CR_C18-2
A21I4R21C18 ,spleen,,55300,He_4CR_I4,He_4CR_R21,He_4CR_A21,He_4CR_C18
A21I4R21C18-1 ,spleen,,72400,He_4CR_I4,He_4CR_R21,He_4CR_A21,He_4CR_C18-1
A21I4R21C18-2 ,spleen,,11900,He_4CR_I4,He_4CR_R21,He_4CR_A21,He_4CR_C18-2
A23I4R21C18 ,spleen,,51800,He_4CR_I4,He_4CR_R21,He_4CR_A23,He_4CR_C18
A23I4R21C18-1 ,spleen,,814000,He_4CR_I4,He_4CR_R21,He_4CR_A23,He_4CR_C18-1
A23I4R21C18-2 ,spleen,,435000,He_4CR_I4,He_4CR_R21,He_4CR_A23,He_4CR_C18-2
A1I4R22C18 ,spleen,,836000,He_4CR_I4,He_4CR_R22,He_4CR_A1,He_4CR_C18
A1I4R22C18-1 ,spleen,,3030000,He_4CR_I4,He_4CR_R22,He_4CR_A1,He_4CR_C18-1
A1I4R22C18-2 ,spleen,,12100000,He_4CR_I4,He_4CR_R22,He_4CR_A1,He_4CR_C18-2
A4I4R22C18 ,spleen,,7980000,He_4CR_I4,He_4CR_R22,He_4CR_A4,He_4CR_C18
A4I4R22C18-1 ,spleen,,7770000,He_4CR_I4,He_4CR_R22,He_4CR_A4,He_4CR_C18-1
A4I4R22C18-2 ,spleen,,1880000,He_4CR_I4,He_4CR_R22,He_4CR_A4,He_4CR_C18-2
A21I4R22C18 ,spleen,,1290000,He_4CR_I4,He_4CR_R22,He_4CR_A21,He_4CR_C18
A21I4R22C18-1 ,spleen,,156000,He_4CR_I4,He_4CR_R22,He_4CR_A21,He_4CR_C18-1
A21I4R22C18-2 ,spleen,,13100,He_4CR_I4,He_4CR_R22,He_4CR_A21,He_4CR_C18-2
A23I4R22C18 ,spleen,,5560000,He_4CR_I4,He_4CR_R22,He_4CR_A23,He_4CR_C18
A23I4R22C18-1 ,spleen,,7490000,He_4CR_I4,He_4CR_R22,He_4CR_A23,He_4CR_C18-1
A23I4R22C18-2 ,spleen,,2860000,He_4CR_I4,He_4CR_R22,He_4CR_A23,He_4CR_C18-2
A1I4R23C18 ,spleen,,1210000,He_4CR_I4,He_4CR_R23,He_4CR_A1,He_4CR_C18
A1I4R23C18-1 ,spleen,,2930000,He_4CR_I4,He_4CR_R23,He_4CR_A1,He_4CR_C18-1
A1I4R23C18-2 ,spleen,,9480000,He_4CR_I4,He_4CR_R23,He_4CR_A1,He_4CR_C18-2
A4I4R23C18 ,spleen,,2020000,He_4CR_I4,He_4CR_R23,He_4CR_A4,He_4CR_C18
A4I4R23C18-1 ,spleen,,699000,He_4CR_I4,He_4CR_R23,He_4CR_A4,He_4CR_C18-1
A4I4R23C18-2 ,spleen,,4150000,He_4CR_I4,He_4CR_R23,He_4CR_A4,He_4CR_C18-2
A21I4R23C18 ,spleen,,274000,He_4CR_I4,He_4CR_R23,He_4CR_A21,He_4CR_C18
A21I4R23C18-1 ,spleen,,257000,He_4CR_I4,He_4CR_R23,He_4CR_A21,He_4CR_C18-1
A21I4R23C18-2 ,spleen,,528000,He_4CR_I4,He_4CR_R23,He_4CR_A21,He_4CR_C18-2
A23I4R23C18 ,spleen,,2050000,He_4CR_I4,He_4CR_R23,He_4CR_A23,He_4CR_C18
A23I4R23C18-1 ,spleen,,2920000,He_4CR_I4,He_4CR_R23,He_4CR_A23,He_4CR_C18-1
A23I4R23C18-2 ,spleen,,748000,He_4CR_I4,He_4CR_R23,He_4CR_A23,He_4CR_C18-2
A1I5R22C8,spleen,,1360000,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C8
A1I5R22C10,spleen,,2220000,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C10
A1I5R22C12,spleen,,26100000,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C12
A1I5R22C14,spleen,,11100000,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C14
A1I5R22C16,spleen,,3450000,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C16
A1I5R22C18,spleen,,989000,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C18
A1I5R22C18-2,spleen,,5490000,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C18-2
A1I5R22C11-S,spleen,,1020000,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C11-S
A1I5R22C13-S,spleen,,13600000,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C13-S
A1I5R22C15-S,spleen,,33300000,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C15-S
A1I5R22C17-S,spleen,,5280000,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C17-S
A1I5R22C19-S,spleen,,16800000,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C19-S
A4I18-1R2C18-1,liver,estimated from fig 3,500000000,He_4CR_I18-1,He_4CR_R2,He_4CR_A4,He_4CR_C18-1
A4I18-1R18-1C22,liver,estimated from fig 3,165000000,He_4CR_I18-1,He_4CR_R18-1,He_4CR_A4,He_4CR_C22
A4I34R18C18-2,liver,estimated from fig 3,10100000,He_4CR_I34,He_4CR_R18,He_4CR_A4,He_4CR_C18-2
A4I34R18-1C18-1,liver,estimated from fig 3,10100000,He_4CR_I34,He_4CR_R18-1,He_4CR_A4,He_4CR_C18-1
A4I18-1R2C18,liver,estimated from S7,300000000,He_4CR_I18-1,He_4CR_R2,He_4CR_A4,He_4CR_C18
A4I18R2C18-3,liver,estimated from S7,500000000,He_4CR_I18,He_4CR_R2,He_4CR_A4,He_4CR_C18-3
A4I18-1R2C18-2,liver,estimated from S7,300000000,He_4CR_I18-1,He_4CR_R2,He_4CR_A4,He_4CR_C18-2
A4I18-1R18C22,liver,estimated from S7,150000000,He_4CR_I18-1,He_4CR_R18,He_4CR_A4,He_4CR_C22
A4I18R18-1C22,liver,estimated from S7,150000000,He_4CR_I18,He_4CR_R18-1,He_4CR_A4,He_4CR_C22
A4I34R18-1C18-2,liver,estimated from S7,30000000,He_4CR_I34,He_4CR_R18-1,He_4CR_A4,He_4CR_C18-2
A4I34R18C18-1,liver,estimated from S7,3000000,He_4CR_I34,He_4CR_R18,He_4CR_A4,He_4CR_C18-1
A4I34R18-1C18,liver,estimated from S7,3000000,He_4CR_I34,He_4CR_R18-1,He_4CR_A4,He_4CR_C18
A1I5R22C21,spleen,estimated from Fig S12,19000000,He_4CR_I5,He_4CR_R22,He_4CR_A1,He_4CR_C21
A1I12R22C51,spleen,estimated from Fig S12,20000000,He_4CR_I12,He_4CR_R22,He_4CR_A1,He_4CR_C51
A1I12R47C21,spleen,estimated from Fig S12,2000000,He_4CR_I12,He_4CR_R47,He_4CR_A1,He_4CR_C21
A1I18R1C18,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R1,He_4CR_A1,He_4CR_C18
A1I18R1C18-1,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R1,He_4CR_A1,He_4CR_C18-1
A1I18R1C18-2,spleen,estimated from Fig 2C,1000000,He_4CR_I18,He_4CR_R1,He_4CR_A1,He_4CR_C18-2
A1I18R1C18-3,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R1,He_4CR_A1,He_4CR_C18-3
A1I18R1C23,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R1,He_4CR_A1,He_4CR_C23
A1I18R2C18,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R2,He_4CR_A1,He_4CR_C18
A1I18R2C18-1,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R2,He_4CR_A1,He_4CR_C18-1
A1I18R2C18-2,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R2,He_4CR_A1,He_4CR_C18-2
A1I18R2C18-3,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R2,He_4CR_A1,He_4CR_C18-3
A1I18R2C23,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R2,He_4CR_A1,He_4CR_C23
A1I18R3C18,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R3,He_4CR_A1,He_4CR_C18
A1I18R3C18-1,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R3,He_4CR_A1,He_4CR_C18-1
A1I18R3C18-2,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R3,He_4CR_A1,He_4CR_C18-2
A1I18R3C18-3,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R3,He_4CR_A1,He_4CR_C18-3
A1I18R3C23,spleen,estimated from Fig 2C,10000,He_4CR_I18,He_4CR_R3,He_4CR_A1,He_4CR_C23
