Lipid_name,Amine,Ketone,Isocyanide,Is_cyclic,Model_type,Delivery_target
LM_3CR_A2Iso6CC7,LM_3CR_A2,LM_3CR_CC7,LM_3CR_Iso6,Yes,HeLa,hela
LM_3CR_A2Iso7CC7,LM_3CR_A2,LM_3CR_CC7,LM_3CR_Iso7,Yes,HeLa,hela
LM_3CR_A2Iso8CC7,LM_3CR_A2,LM_3CR_CC7,LM_3CR_Iso8,Yes,HeLa,hela
LM_3CR_A2Iso9CC7,LM_3CR_A2,LM_3CR_CC7,LM_3CR_Iso9,No,HeLa,hela
LM_3CR_A2Iso10CC7,LM_3CR_A2,LM_3CR_CC7,LM_3CR_Iso10,No,HeLa,hela
LM_3CR_A2Iso1CC6,LM_3CR_A2,LM_3CR_CC6,LM_3CR_Iso1,No,HeLa,hela
LM_3CR_A2Iso2CC6,LM_3CR_A2,LM_3CR_CC6,LM_3CR_Iso2,No,HeLa,hela
LM_3CR_A2Iso3CC6,LM_3CR_A2,LM_3CR_CC6,LM_3CR_Iso3,No,HeLa,hela
LM_3CR_A2Iso4CC6,LM_3CR_A2,LM_3CR_CC6,LM_3CR_Iso4,Yes,HeLa,hela
LM_3CR_A2Iso5CC6,LM_3CR_A2,LM_3CR_CC6,LM_3CR_Iso5,Yes,HeLa,hela
LM_3CR_A2Iso6CC6,LM_3CR_A2,LM_3CR_CC6,LM_3CR_Iso6,Yes,HeLa,hela
LM_3CR_A2Iso7CC6,LM_3CR_A2,LM_3CR_CC6,LM_3CR_Iso7,Yes,HeLa,hela
LM_3CR_A2Iso8CC6,LM_3CR_A2,LM_3CR_CC6,LM_3CR_Iso8,Yes,HeLa,hela
LM_3CR_A2Iso9CC6,LM_3CR_A2,LM_3CR_CC6,LM_3CR_Iso9,No,HeLa,hela
LM_3CR_A2Iso10CC6,LM_3CR_A2,LM_3CR_CC6,LM_3CR_Iso10,No,HeLa,hela
LM_3CR_A2Iso1C6,LM_3CR_A2,LM_3CR_C6,LM_3CR_Iso1,No,HeLa,hela
LM_3CR_A2Iso2C6,LM_3CR_A2,LM_3CR_C6,LM_3CR_Iso2,No,HeLa,hela
LM_3CR_A2Iso3C6,LM_3CR_A2,LM_3CR_C6,LM_3CR_Iso3,No,HeLa,hela
LM_3CR_A2Iso4C6,LM_3CR_A2,LM_3CR_C6,LM_3CR_Iso4,Yes,HeLa,hela
LM_3CR_A2Iso5C6,LM_3CR_A2,LM_3CR_C6,LM_3CR_Iso5,Yes,HeLa,hela
LM_3CR_A2Iso6C6,LM_3CR_A2,LM_3CR_C6,LM_3CR_Iso6,Yes,HeLa,hela
LM_3CR_A2Iso7C6,LM_3CR_A2,LM_3CR_C6,LM_3CR_Iso7,Yes,HeLa,hela
LM_3CR_A2Iso8C6,LM_3CR_A2,LM_3CR_C6,LM_3CR_Iso8,Yes,HeLa,hela
LM_3CR_A2Iso9C6,LM_3CR_A2,LM_3CR_C6,LM_3CR_Iso9,No,HeLa,hela
LM_3CR_A2Iso10C6,LM_3CR_A2,LM_3CR_C6,LM_3CR_Iso10,No,HeLa,hela
LM_3CR_A3Iso12DC18,LM_3CR_A3,LM_3CR_2DC18,LM_3CR_Iso1,No,HeLa,hela
LM_3CR_A3Iso22DC18,LM_3CR_A3,LM_3CR_2DC18,LM_3CR_Iso2,No,HeLa,hela
LM_3CR_A3Iso32DC18,LM_3CR_A3,LM_3CR_2DC18,LM_3CR_Iso3,No,HeLa,hela
LM_3CR_A3Iso42DC18,LM_3CR_A3,LM_3CR_2DC18,LM_3CR_Iso4,No,HeLa,hela
LM_3CR_A3Iso72DC18,LM_3CR_A3,LM_3CR_2DC18,LM_3CR_Iso7,No,HeLa,hela
LM_3CR_A3Iso82DC18,LM_3CR_A3,LM_3CR_2DC18,LM_3CR_Iso8,No,HeLa,hela
LM_3CR_A3Iso102DC18,LM_3CR_A3,LM_3CR_2DC18,LM_3CR_Iso10,No,HeLa,hela
LM_3CR_A3Iso1C11,LM_3CR_A3,LM_3CR_C11,LM_3CR_Iso1,No,HeLa,hela
LM_3CR_A3Iso2C11,LM_3CR_A3,LM_3CR_C11,LM_3CR_Iso2,No,HeLa,hela
LM_3CR_A3Iso3C11,LM_3CR_A3,LM_3CR_C11,LM_3CR_Iso3,No,HeLa,hela
LM_3CR_A3Iso4C11,LM_3CR_A3,LM_3CR_C11,LM_3CR_Iso4,No,HeLa,hela
LM_3CR_A3Iso5C11,LM_3CR_A3,LM_3CR_C11,LM_3CR_Iso5,No,HeLa,hela
LM_3CR_A3Iso6C11,LM_3CR_A3,LM_3CR_C11,LM_3CR_Iso6,No,HeLa,hela
LM_3CR_A3Iso7C11,LM_3CR_A3,LM_3CR_C11,LM_3CR_Iso7,No,HeLa,hela
LM_3CR_A3Iso8C11,LM_3CR_A3,LM_3CR_C11,LM_3CR_Iso8,No,HeLa,hela
LM_3CR_A3Iso9C11,LM_3CR_A3,LM_3CR_C11,LM_3CR_Iso9,No,HeLa,hela
LM_3CR_A3Iso10C11,LM_3CR_A3,LM_3CR_C11,LM_3CR_Iso10,No,HeLa,hela
LM_3CR_A3Iso1C10,LM_3CR_A3,LM_3CR_C10,LM_3CR_Iso1,No,HeLa,hela
LM_3CR_A3Iso2C10,LM_3CR_A3,LM_3CR_C10,LM_3CR_Iso2,No,HeLa,hela
LM_3CR_A3Iso3C10,LM_3CR_A3,LM_3CR_C10,LM_3CR_Iso3,No,HeLa,hela
LM_3CR_A3Iso4C10,LM_3CR_A3,LM_3CR_C10,LM_3CR_Iso4,No,HeLa,hela
LM_3CR_A3Iso5C10,LM_3CR_A3,LM_3CR_C10,LM_3CR_Iso5,No,HeLa,hela
LM_3CR_A3Iso6C10,LM_3CR_A3,LM_3CR_C10,LM_3CR_Iso6,No,HeLa,hela
LM_3CR_A3Iso7C10,LM_3CR_A3,LM_3CR_C10,LM_3CR_Iso7,No,HeLa,hela
LM_3CR_A3Iso8C10,LM_3CR_A3,LM_3CR_C10,LM_3CR_Iso8,No,HeLa,hela
LM_3CR_A3Iso9C10,LM_3CR_A3,LM_3CR_C10,LM_3CR_Iso9,No,HeLa,hela
LM_3CR_A3Iso10C10,LM_3CR_A3,LM_3CR_C10,LM_3CR_Iso10,No,HeLa,hela
LM_3CR_A3Iso1C9,LM_3CR_A3,LM_3CR_C9,LM_3CR_Iso1,No,HeLa,hela
LM_3CR_A3Iso2C9,LM_3CR_A3,LM_3CR_C9,LM_3CR_Iso2,No,HeLa,hela
LM_3CR_A3Iso3C9,LM_3CR_A3,LM_3CR_C9,LM_3CR_Iso3,No,HeLa,hela
LM_3CR_A3Iso4C9,LM_3CR_A3,LM_3CR_C9,LM_3CR_Iso4,No,HeLa,hela
LM_3CR_A3Iso5C9,LM_3CR_A3,LM_3CR_C9,LM_3CR_Iso5,No,HeLa,hela
LM_3CR_A3Iso6C9,LM_3CR_A3,LM_3CR_C9,LM_3CR_Iso6,No,HeLa,hela
LM_3CR_A3Iso7C9,LM_3CR_A3,LM_3CR_C9,LM_3CR_Iso7,No,HeLa,hela
LM_3CR_A3Iso8C9,LM_3CR_A3,LM_3CR_C9,LM_3CR_Iso8,No,HeLa,hela
LM_3CR_A3Iso9C9,LM_3CR_A3,LM_3CR_C9,LM_3CR_Iso9,No,HeLa,hela
LM_3CR_A3Iso10C9,LM_3CR_A3,LM_3CR_C9,LM_3CR_Iso10,No,HeLa,hela
LM_3CR_A3Iso1C8,LM_3CR_A3,LM_3CR_C8,LM_3CR_Iso1,No,HeLa,hela
LM_3CR_A3Iso2C8,LM_3CR_A3,LM_3CR_C8,LM_3CR_Iso2,No,HeLa,hela
LM_3CR_A3Iso3C8,LM_3CR_A3,LM_3CR_C8,LM_3CR_Iso3,No,HeLa,hela
LM_3CR_A3Iso4C8,LM_3CR_A3,LM_3CR_C8,LM_3CR_Iso4,No,HeLa,hela
LM_3CR_A3Iso5C8,LM_3CR_A3,LM_3CR_C8,LM_3CR_Iso5,No,HeLa,hela
LM_3CR_A3Iso6C8,LM_3CR_A3,LM_3CR_C8,LM_3CR_Iso6,No,HeLa,hela
LM_3CR_A3Iso7C8,LM_3CR_A3,LM_3CR_C8,LM_3CR_Iso7,No,HeLa,hela
LM_3CR_A3Iso8C8,LM_3CR_A3,LM_3CR_C8,LM_3CR_Iso8,No,HeLa,hela
LM_3CR_A3Iso9C8,LM_3CR_A3,LM_3CR_C8,LM_3CR_Iso9,No,HeLa,hela
LM_3CR_A3Iso10C8,LM_3CR_A3,LM_3CR_C8,LM_3CR_Iso10,No,HeLa,hela
LM_3CR_A3Iso1C7,LM_3CR_A3,LM_3CR_C7,LM_3CR_Iso1,No,HeLa,hela
LM_3CR_A3Iso2C7,LM_3CR_A3,LM_3CR_C7,LM_3CR_Iso2,No,HeLa,hela
LM_3CR_A3Iso3C7,LM_3CR_A3,LM_3CR_C7,LM_3CR_Iso3,No,HeLa,hela
LM_3CR_A3Iso4C7,LM_3CR_A3,LM_3CR_C7,LM_3CR_Iso4,No,HeLa,hela
LM_3CR_A3Iso5C7,LM_3CR_A3,LM_3CR_C7,LM_3CR_Iso5,No,HeLa,hela
LM_3CR_A3Iso6C7,LM_3CR_A3,LM_3CR_C7,LM_3CR_Iso6,No,HeLa,hela
LM_3CR_A3Iso7C7,LM_3CR_A3,LM_3CR_C7,LM_3CR_Iso7,No,HeLa,hela
LM_3CR_A3Iso8C7,LM_3CR_A3,LM_3CR_C7,LM_3CR_Iso8,No,HeLa,hela
LM_3CR_A3Iso9C7,LM_3CR_A3,LM_3CR_C7,LM_3CR_Iso9,No,HeLa,hela
LM_3CR_A3Iso10C7,LM_3CR_A3,LM_3CR_C7,LM_3CR_Iso10,No,HeLa,hela
LM_3CR_A3Iso1CC7,LM_3CR_A3,LM_3CR_CC7,LM_3CR_Iso1,No,HeLa,hela
LM_3CR_A3Iso2CC7,LM_3CR_A3,LM_3CR_CC7,LM_3CR_Iso2,No,HeLa,hela
LM_3CR_A3Iso3CC7,LM_3CR_A3,LM_3CR_CC7,LM_3CR_Iso3,No,HeLa,hela
LM_3CR_A3Iso4CC7,LM_3CR_A3,LM_3CR_CC7,LM_3CR_Iso4,No,HeLa,hela
LM_3CR_A3Iso5CC7,LM_3CR_A3,LM_3CR_CC7,LM_3CR_Iso5,No,HeLa,hela
LM_3CR_A3Iso6CC7,LM_3CR_A3,LM_3CR_CC7,LM_3CR_Iso6,No,HeLa,hela
LM_3CR_A3Iso7CC7,LM_3CR_A3,LM_3CR_CC7,LM_3CR_Iso7,No,HeLa,hela
LM_3CR_A3Iso8CC7,LM_3CR_A3,LM_3CR_CC7,LM_3CR_Iso8,No,HeLa,hela
LM_3CR_A3Iso9CC7,LM_3CR_A3,LM_3CR_CC7,LM_3CR_Iso9,No,HeLa,hela
LM_3CR_A3Iso10CC7,LM_3CR_A3,LM_3CR_CC7,LM_3CR_Iso10,No,HeLa,hela
LM_3CR_A3Iso1CC6,LM_3CR_A3,LM_3CR_CC6,LM_3CR_Iso1,No,HeLa,hela
LM_3CR_A3Iso2CC6,LM_3CR_A3,LM_3CR_CC6,LM_3CR_Iso2,No,HeLa,hela
LM_3CR_A3Iso3CC6,LM_3CR_A3,LM_3CR_CC6,LM_3CR_Iso3,No,HeLa,hela
LM_3CR_A3Iso4CC6,LM_3CR_A3,LM_3CR_CC6,LM_3CR_Iso4,No,HeLa,hela
LM_3CR_A3Iso5CC6,LM_3CR_A3,LM_3CR_CC6,LM_3CR_Iso5,No,HeLa,hela
LM_3CR_A3Iso6CC6,LM_3CR_A3,LM_3CR_CC6,LM_3CR_Iso6,No,HeLa,hela
LM_3CR_A3Iso7CC6,LM_3CR_A3,LM_3CR_CC6,LM_3CR_Iso7,No,HeLa,hela
LM_3CR_A3Iso8CC6,LM_3CR_A3,LM_3CR_CC6,LM_3CR_Iso8,No,HeLa,hela
LM_3CR_A3Iso9CC6,LM_3CR_A3,LM_3CR_CC6,LM_3CR_Iso9,No,HeLa,hela
LM_3CR_A3Iso10CC6,LM_3CR_A3,LM_3CR_CC6,LM_3CR_Iso10,No,HeLa,hela
LM_3CR_A3Iso1C6,LM_3CR_A3,LM_3CR_C6,LM_3CR_Iso1,No,HeLa,hela
LM_3CR_A3Iso2C6,LM_3CR_A3,LM_3CR_C6,LM_3CR_Iso2,No,HeLa,hela
LM_3CR_A3Iso3C6,LM_3CR_A3,LM_3CR_C6,LM_3CR_Iso3,No,HeLa,hela
LM_3CR_A3Iso4C6,LM_3CR_A3,LM_3CR_C6,LM_3CR_Iso4,No,HeLa,hela
LM_3CR_A3Iso5C6,LM_3CR_A3,LM_3CR_C6,LM_3CR_Iso5,No,HeLa,hela
LM_3CR_A3Iso6C6,LM_3CR_A3,LM_3CR_C6,LM_3CR_Iso6,No,HeLa,hela
LM_3CR_A3Iso7C6,LM_3CR_A3,LM_3CR_C6,LM_3CR_Iso7,No,HeLa,hela
LM_3CR_A3Iso8C6,LM_3CR_A3,LM_3CR_C6,LM_3CR_Iso8,No,HeLa,hela
LM_3CR_A3Iso9C6,LM_3CR_A3,LM_3CR_C6,LM_3CR_Iso9,No,HeLa,hela
LM_3CR_A3Iso10C6,LM_3CR_A3,LM_3CR_C6,LM_3CR_Iso10,No,HeLa,hela
LM_3CR_A4Iso12DC18,LM_3CR_A4,LM_3CR_2DC18,LM_3CR_Iso1,No,HeLa,hela
LM_3CR_A4Iso22DC18,LM_3CR_A4,LM_3CR_2DC18,LM_3CR_Iso2,No,HeLa,hela
LM_3CR_A4Iso32DC18,LM_3CR_A4,LM_3CR_2DC18,LM_3CR_Iso3,No,HeLa,hela
LM_3CR_A4Iso42DC18,LM_3CR_A4,LM_3CR_2DC18,LM_3CR_Iso4,No,HeLa,hela
LM_3CR_A4Iso72DC18,LM_3CR_A4,LM_3CR_2DC18,LM_3CR_Iso7,No,HeLa,hela
LM_3CR_A4Iso82DC18,LM_3CR_A4,LM_3CR_2DC18,LM_3CR_Iso8,No,HeLa,hela
LM_3CR_A4Iso102DC18,LM_3CR_A4,LM_3CR_2DC18,LM_3CR_Iso10,No,HeLa,hela
LM_3CR_A4Iso1C11,LM_3CR_A4,LM_3CR_C11,LM_3CR_Iso1,No,HeLa,hela
LM_3CR_A4Iso2C11,LM_3CR_A4,LM_3CR_C11,LM_3CR_Iso2,No,HeLa,hela
LM_3CR_A4Iso3C11,LM_3CR_A4,LM_3CR_C11,LM_3CR_Iso3,No,HeLa,hela
LM_3CR_A4Iso4C11,LM_3CR_A4,LM_3CR_C11,LM_3CR_Iso4,No,HeLa,hela
LM_3CR_A4Iso5C11,LM_3CR_A4,LM_3CR_C11,LM_3CR_Iso5,No,HeLa,hela
LM_3CR_A4Iso6C11,LM_3CR_A4,LM_3CR_C11,LM_3CR_Iso6,No,HeLa,hela
LM_3CR_A4Iso7C11,LM_3CR_A4,LM_3CR_C11,LM_3CR_Iso7,No,HeLa,hela
LM_3CR_A4Iso8C11,LM_3CR_A4,LM_3CR_C11,LM_3CR_Iso8,No,HeLa,hela
LM_3CR_A4Iso9C11,LM_3CR_A4,LM_3CR_C11,LM_3CR_Iso9,No,HeLa,hela
LM_3CR_A4Iso10C11,LM_3CR_A4,LM_3CR_C11,LM_3CR_Iso10,No,HeLa,hela
LM_3CR_A4Iso1C10,LM_3CR_A4,LM_3CR_C10,LM_3CR_Iso1,No,HeLa,hela
LM_3CR_A4Iso2C10,LM_3CR_A4,LM_3CR_C10,LM_3CR_Iso2,No,HeLa,hela
LM_3CR_A4Iso3C10,LM_3CR_A4,LM_3CR_C10,LM_3CR_Iso3,No,HeLa,hela
LM_3CR_A4Iso4C10,LM_3CR_A4,LM_3CR_C10,LM_3CR_Iso4,No,HeLa,hela
LM_3CR_A4Iso5C10,LM_3CR_A4,LM_3CR_C10,LM_3CR_Iso5,No,HeLa,hela
LM_3CR_A4Iso6C10,LM_3CR_A4,LM_3CR_C10,LM_3CR_Iso6,No,HeLa,hela
LM_3CR_A4Iso7C10,LM_3CR_A4,LM_3CR_C10,LM_3CR_Iso7,No,HeLa,hela
LM_3CR_A4Iso8C10,LM_3CR_A4,LM_3CR_C10,LM_3CR_Iso8,No,HeLa,hela
LM_3CR_A4Iso9C10,LM_3CR_A4,LM_3CR_C10,LM_3CR_Iso9,No,HeLa,hela
LM_3CR_A4Iso10C10,LM_3CR_A4,LM_3CR_C10,LM_3CR_Iso10,No,HeLa,hela
LM_3CR_A4Iso1C9,LM_3CR_A4,LM_3CR_C9,LM_3CR_Iso1,No,HeLa,hela
LM_3CR_A4Iso2C9,LM_3CR_A4,LM_3CR_C9,LM_3CR_Iso2,No,HeLa,hela
LM_3CR_A4Iso3C9,LM_3CR_A4,LM_3CR_C9,LM_3CR_Iso3,No,HeLa,hela
LM_3CR_A4Iso4C9,LM_3CR_A4,LM_3CR_C9,LM_3CR_Iso4,No,HeLa,hela
LM_3CR_A4Iso5C9,LM_3CR_A4,LM_3CR_C9,LM_3CR_Iso5,No,HeLa,hela
LM_3CR_A4Iso6C9,LM_3CR_A4,LM_3CR_C9,LM_3CR_Iso6,No,HeLa,hela
LM_3CR_A4Iso7C9,LM_3CR_A4,LM_3CR_C9,LM_3CR_Iso7,No,HeLa,hela
LM_3CR_A4Iso8C9,LM_3CR_A4,LM_3CR_C9,LM_3CR_Iso8,No,HeLa,hela
LM_3CR_A4Iso9C9,LM_3CR_A4,LM_3CR_C9,LM_3CR_Iso9,No,HeLa,hela
LM_3CR_A4Iso10C9,LM_3CR_A4,LM_3CR_C9,LM_3CR_Iso10,No,HeLa,hela
LM_3CR_A4Iso1C8,LM_3CR_A4,LM_3CR_C8,LM_3CR_Iso1,No,HeLa,hela
LM_3CR_A4Iso2C8,LM_3CR_A4,LM_3CR_C8,LM_3CR_Iso2,No,HeLa,hela
LM_3CR_A4Iso3C8,LM_3CR_A4,LM_3CR_C8,LM_3CR_Iso3,No,HeLa,hela
LM_3CR_A4Iso4C8,LM_3CR_A4,LM_3CR_C8,LM_3CR_Iso4,No,HeLa,hela
LM_3CR_A4Iso5C8,LM_3CR_A4,LM_3CR_C8,LM_3CR_Iso5,No,HeLa,hela
LM_3CR_A4Iso6C8,LM_3CR_A4,LM_3CR_C8,LM_3CR_Iso6,No,HeLa,hela
LM_3CR_A4Iso7C8,LM_3CR_A4,LM_3CR_C8,LM_3CR_Iso7,No,HeLa,hela
LM_3CR_A4Iso8C8,LM_3CR_A4,LM_3CR_C8,LM_3CR_Iso8,No,HeLa,hela
LM_3CR_A4Iso9C8,LM_3CR_A4,LM_3CR_C8,LM_3CR_Iso9,No,HeLa,hela
LM_3CR_A4Iso10C8,LM_3CR_A4,LM_3CR_C8,LM_3CR_Iso10,No,HeLa,hela
LM_3CR_A4Iso1C7,LM_3CR_A4,LM_3CR_C7,LM_3CR_Iso1,No,HeLa,hela
LM_3CR_A4Iso2C7,LM_3CR_A4,LM_3CR_C7,LM_3CR_Iso2,No,HeLa,hela
LM_3CR_A4Iso3C7,LM_3CR_A4,LM_3CR_C7,LM_3CR_Iso3,No,HeLa,hela
LM_3CR_A4Iso4C7,LM_3CR_A4,LM_3CR_C7,LM_3CR_Iso4,No,HeLa,hela
LM_3CR_A4Iso5C7,LM_3CR_A4,LM_3CR_C7,LM_3CR_Iso5,No,HeLa,hela
LM_3CR_A4Iso6C7,LM_3CR_A4,LM_3CR_C7,LM_3CR_Iso6,No,HeLa,hela
LM_3CR_A4Iso7C7,LM_3CR_A4,LM_3CR_C7,LM_3CR_Iso7,No,HeLa,hela
LM_3CR_A4Iso8C7,LM_3CR_A4,LM_3CR_C7,LM_3CR_Iso8,No,HeLa,hela
LM_3CR_A4Iso9C7,LM_3CR_A4,LM_3CR_C7,LM_3CR_Iso9,No,HeLa,hela
LM_3CR_A4Iso10C7,LM_3CR_A4,LM_3CR_C7,LM_3CR_Iso10,No,HeLa,hela
LM_3CR_A4Iso1CC7,LM_3CR_A4,LM_3CR_CC7,LM_3CR_Iso1,No,HeLa,hela
LM_3CR_A4Iso2CC7,LM_3CR_A4,LM_3CR_CC7,LM_3CR_Iso2,No,HeLa,hela
LM_3CR_A4Iso3CC7,LM_3CR_A4,LM_3CR_CC7,LM_3CR_Iso3,No,HeLa,hela
LM_3CR_A4Iso4CC7,LM_3CR_A4,LM_3CR_CC7,LM_3CR_Iso4,No,HeLa,hela
LM_3CR_A4Iso5CC7,LM_3CR_A4,LM_3CR_CC7,LM_3CR_Iso5,No,HeLa,hela
LM_3CR_A4Iso6CC7,LM_3CR_A4,LM_3CR_CC7,LM_3CR_Iso6,No,HeLa,hela
LM_3CR_A4Iso7CC7,LM_3CR_A4,LM_3CR_CC7,LM_3CR_Iso7,No,HeLa,hela
LM_3CR_A4Iso8CC7,LM_3CR_A4,LM_3CR_CC7,LM_3CR_Iso8,No,HeLa,hela
LM_3CR_A4Iso9CC7,LM_3CR_A4,LM_3CR_CC7,LM_3CR_Iso9,No,HeLa,hela
LM_3CR_A4Iso10CC7,LM_3CR_A4,LM_3CR_CC7,LM_3CR_Iso10,No,HeLa,hela
LM_3CR_A4Iso1CC6,LM_3CR_A4,LM_3CR_CC6,LM_3CR_Iso1,No,HeLa,hela
LM_3CR_A4Iso2CC6,LM_3CR_A4,LM_3CR_CC6,LM_3CR_Iso2,No,HeLa,hela
LM_3CR_A4Iso3CC6,LM_3CR_A4,LM_3CR_CC6,LM_3CR_Iso3,No,HeLa,hela
LM_3CR_A4Iso4CC6,LM_3CR_A4,LM_3CR_CC6,LM_3CR_Iso4,No,HeLa,hela
LM_3CR_A4Iso5CC6,LM_3CR_A4,LM_3CR_CC6,LM_3CR_Iso5,No,HeLa,hela
LM_3CR_A4Iso6CC6,LM_3CR_A4,LM_3CR_CC6,LM_3CR_Iso6,No,HeLa,hela
LM_3CR_A4Iso7CC6,LM_3CR_A4,LM_3CR_CC6,LM_3CR_Iso7,No,HeLa,hela
LM_3CR_A4Iso8CC6,LM_3CR_A4,LM_3CR_CC6,LM_3CR_Iso8,No,HeLa,hela
LM_3CR_A4Iso9CC6,LM_3CR_A4,LM_3CR_CC6,LM_3CR_Iso9,No,HeLa,hela
LM_3CR_A4Iso10CC6,LM_3CR_A4,LM_3CR_CC6,LM_3CR_Iso10,No,HeLa,hela
LM_3CR_A4Iso1C6,LM_3CR_A4,LM_3CR_C6,LM_3CR_Iso1,No,HeLa,hela
LM_3CR_A4Iso2C6,LM_3CR_A4,LM_3CR_C6,LM_3CR_Iso2,No,HeLa,hela
