Amine,Tail,Lipid_name,Tail_count
Liu_phospholipids_25A,Liu_phospholipids_P9,Liu_phospholipids_25A3P9,3
Liu_phospholipids_12A,Liu_phospholipids_P10,Liu_phospholipids_12A1P10,1
Liu_phospholipids_9A,Liu_phospholipids_P11,Liu_phospholipids_9A1P11,1
Liu_phospholipids_10A,Liu_phospholipids_P11,Liu_phospholipids_10A1P11,1
Liu_phospholipids_12A,Liu_phospholipids_P11,Liu_phospholipids_12A1P11,1
Liu_phospholipids_9A,Liu_phospholipids_P13,Liu_phospholipids_9A1P13,1
Liu_phospholipids_10A,Liu_phospholipids_P13,Liu_phospholipids_10A1P13,1
Liu_phospholipids_11A,Liu_phospholipids_P13,Liu_phospholipids_11A1P13,1
Liu_phospholipids_9A,Liu_phospholipids_P14,Liu_phospholipids_9A1P14,1
Liu_phospholipids_10A,Liu_phospholipids_P14,Liu_phospholipids_10A1P14,1
Liu_phospholipids_9A,Liu_phospholipids_P15,Liu_phospholipids_9A1P15,1
Liu_phospholipids_10A,Liu_phospholipids_P15,Liu_phospholipids_10A1P15,1
Liu_phospholipids_9A,Liu_phospholipids_P16,Liu_phospholipids_9A1P16,1
Liu_phospholipids_10A,Liu_phospholipids_P4,Liu_phospholipids_10A1P4,1
Liu_phospholipids_11A,Liu_phospholipids_P4,Liu_phospholipids_11A1P4,1
Liu_phospholipids_12A,Liu_phospholipids_P4,Liu_phospholipids_12A1P4,1
Liu_phospholipids_10A,Liu_phospholipids_P5,Liu_phospholipids_10A1P5,1
Liu_phospholipids_11A,Liu_phospholipids_P5,Liu_phospholipids_11A1P5,1
Liu_phospholipids_12A,Liu_phospholipids_P5,Liu_phospholipids_12A1P5,1
Liu_phospholipids_10A,Liu_phospholipids_P6,Liu_phospholipids_10A1P6,1
Liu_phospholipids_11A,Liu_phospholipids_P6,Liu_phospholipids_11A1P6,1
Liu_phospholipids_12A,Liu_phospholipids_P6,Liu_phospholipids_12A1P6,1
Liu_phospholipids_13A,Liu_phospholipids_P6,Liu_phospholipids_13A1P6,1
Liu_phospholipids_9A,Liu_phospholipids_P7,Liu_phospholipids_9A1P7,1
Liu_phospholipids_10A,Liu_phospholipids_P7,Liu_phospholipids_10A1P7,1
Liu_phospholipids_11A,Liu_phospholipids_P7,Liu_phospholipids_11A1P7,1
Liu_phospholipids_12A,Liu_phospholipids_P7,Liu_phospholipids_12A1P7,1
Liu_phospholipids_12A,Liu_phospholipids_P8,Liu_phospholipids_12A1P8,1
Liu_phospholipids_28A,Liu_phospholipids_P8,Liu_phospholipids_28A5P8,5
Liu_phospholipids_9A,Liu_phospholipids_P9,Liu_phospholipids_9A1P9,1
Liu_phospholipids_10A,Liu_phospholipids_P9,Liu_phospholipids_10A1P9,1
Liu_phospholipids_11A,Liu_phospholipids_P9,Liu_phospholipids_11A1P9,1
Liu_phospholipids_12A,Liu_phospholipids_P9,Liu_phospholipids_12A1P9,1
Liu_phospholipids_16A,Liu_phospholipids_P9,Liu_phospholipids_16A1P9,1
Liu_phospholipids_18A,Liu_phospholipids_P9,Liu_phospholipids_18A1P9,1
Liu_phospholipids_19A,Liu_phospholipids_P9,Liu_phospholipids_19A2P9,2
Liu_phospholipids_23A,Liu_phospholipids_P9,Liu_phospholipids_23A2P9,2
Liu_phospholipids_23A,Liu_phospholipids_P9,Liu_phospholipids_23A3P9,3
Liu_phospholipids_23A,Liu_phospholipids_P9,Liu_phospholipids_23A4P9,4
Liu_phospholipids_25A,Liu_phospholipids_P9,Liu_phospholipids_25A4P9,4
Liu_phospholipids_26A,Liu_phospholipids_P9,Liu_phospholipids_26A3P9,3
Liu_phospholipids_27A,Liu_phospholipids_P9,Liu_phospholipids_27A3P9,3
Liu_phospholipids_27A,Liu_phospholipids_P9,Liu_phospholipids_27A4P9,4
Liu_phospholipids_28A,Liu_phospholipids_P9,Liu_phospholipids_28A3P9,3
Liu_phospholipids_28A,Liu_phospholipids_P9,Liu_phospholipids_28A5P9,5
Liu_phospholipids_9A,Liu_phospholipids_P10,Liu_phospholipids_9A1P10,1
Liu_phospholipids_10A,Liu_phospholipids_P10,Liu_phospholipids_10A1P10,1
Liu_phospholipids_11A,Liu_phospholipids_P10,Liu_phospholipids_11A1P10,1
Liu_phospholipids_14A,Liu_phospholipids_P10,Liu_phospholipids_14A1P10,1
Liu_phospholipids_16A,Liu_phospholipids_P10,Liu_phospholipids_16A1P10,1
Liu_phospholipids_17A,Liu_phospholipids_P10,Liu_phospholipids_17A1P10,1
Liu_phospholipids_18A,Liu_phospholipids_P10,Liu_phospholipids_18A1P10,1
Liu_phospholipids_23A,Liu_phospholipids_P10,Liu_phospholipids_23A2P10,2
Liu_phospholipids_24A,Liu_phospholipids_P10,Liu_phospholipids_24A4P10,4
Liu_phospholipids_25A,Liu_phospholipids_P10,Liu_phospholipids_25A3P10,3
Liu_phospholipids_27A,Liu_phospholipids_P10,Liu_phospholipids_27A2P10,2
Liu_phospholipids_27A,Liu_phospholipids_P10,Liu_phospholipids_27A3P10,3
Liu_phospholipids_27A,Liu_phospholipids_P10,Liu_phospholipids_27A4P10,4
Liu_phospholipids_28A,Liu_phospholipids_P10,Liu_phospholipids_28A2P10,2
Liu_phospholipids_7A,Liu_phospholipids_P11,Liu_phospholipids_7A1P11,1
Liu_phospholipids_8A,Liu_phospholipids_P11,Liu_phospholipids_8A1P11,1
Liu_phospholipids_11A,Liu_phospholipids_P11,Liu_phospholipids_11A1P11,1
Liu_phospholipids_13A,Liu_phospholipids_P11,Liu_phospholipids_13A1P11,1
Liu_phospholipids_14A,Liu_phospholipids_P11,Liu_phospholipids_14A1P11,1
Liu_phospholipids_16A,Liu_phospholipids_P11,Liu_phospholipids_16A1P11,1
Liu_phospholipids_18A,Liu_phospholipids_P11,Liu_phospholipids_18A1P11,1
Liu_phospholipids_8A,Liu_phospholipids_P12,Liu_phospholipids_8A1P12,1
Liu_phospholipids_9A,Liu_phospholipids_P12,Liu_phospholipids_9A1P12,1
Liu_phospholipids_10A,Liu_phospholipids_P12,Liu_phospholipids_10A1P12,1
Liu_phospholipids_11A,Liu_phospholipids_P12,Liu_phospholipids_11A1P12,1
Liu_phospholipids_12A,Liu_phospholipids_P12,Liu_phospholipids_12A1P12,1
Liu_phospholipids_14A,Liu_phospholipids_P12,Liu_phospholipids_14A1P12,1
Liu_phospholipids_15A,Liu_phospholipids_P12,Liu_phospholipids_15A1P12,1
Liu_phospholipids_12A,Liu_phospholipids_P13,Liu_phospholipids_12A1P13,1
Liu_phospholipids_14A,Liu_phospholipids_P13,Liu_phospholipids_14A1P13,1
Liu_phospholipids_15A,Liu_phospholipids_P13,Liu_phospholipids_15A1P13,1
Liu_phospholipids_16A,Liu_phospholipids_P13,Liu_phospholipids_16A1P13,1
Liu_phospholipids_18A,Liu_phospholipids_P13,Liu_phospholipids_18A1P13,1
Liu_phospholipids_8A,Liu_phospholipids_P14,Liu_phospholipids_8A1P14,1
Liu_phospholipids_11A,Liu_phospholipids_P14,Liu_phospholipids_11A1P14,1
Liu_phospholipids_12A,Liu_phospholipids_P14,Liu_phospholipids_12A1P14,1
Liu_phospholipids_15A,Liu_phospholipids_P14,Liu_phospholipids_15A1P14,1
Liu_phospholipids_16A,Liu_phospholipids_P14,Liu_phospholipids_16A1P14,1
Liu_phospholipids_18A,Liu_phospholipids_P14,Liu_phospholipids_18A1P14,1
Liu_phospholipids_11A,Liu_phospholipids_P15,Liu_phospholipids_11A1P15,1
Liu_phospholipids_8A,Liu_phospholipids_P16,Liu_phospholipids_8A1P16,1
Liu_phospholipids_10A,Liu_phospholipids_P16,Liu_phospholipids_10A1P16,1
Liu_phospholipids_11A,Liu_phospholipids_P16,Liu_phospholipids_11A1P16,1
Liu_phospholipids_12A,Liu_phospholipids_P16,Liu_phospholipids_12A1P16,1
Liu_phospholipids_1A,Liu_phospholipids_P4,Liu_phospholipids_1A1P4,1
Liu_phospholipids_2A,Liu_phospholipids_P4,Liu_phospholipids_2A1P4,1
Liu_phospholipids_3A,Liu_phospholipids_P4,Liu_phospholipids_3A1P4,1
Liu_phospholipids_5A,Liu_phospholipids_P4,Liu_phospholipids_5A1P4,1
Liu_phospholipids_7A,Liu_phospholipids_P4,Liu_phospholipids_7A1P4,1
Liu_phospholipids_8A,Liu_phospholipids_P4,Liu_phospholipids_8A1P4,1
Liu_phospholipids_9A,Liu_phospholipids_P4,Liu_phospholipids_9A1P4,1
Liu_phospholipids_13A,Liu_phospholipids_P4,Liu_phospholipids_13A1P4,1
Liu_phospholipids_14A,Liu_phospholipids_P4,Liu_phospholipids_14A1P4,1
Liu_phospholipids_16A,Liu_phospholipids_P4,Liu_phospholipids_16A1P4,1
Liu_phospholipids_17A,Liu_phospholipids_P4,Liu_phospholipids_17A1P4,1
Liu_phospholipids_19A,Liu_phospholipids_P4,Liu_phospholipids_19A2P4,2
Liu_phospholipids_20A,Liu_phospholipids_P4,Liu_phospholipids_20A2P4,2
Liu_phospholipids_20A,Liu_phospholipids_P4,Liu_phospholipids_20A3P4,3
Liu_phospholipids_21A,Liu_phospholipids_P4,Liu_phospholipids_21A2P4,2
Liu_phospholipids_21A,Liu_phospholipids_P4,Liu_phospholipids_21A3P4,3
Liu_phospholipids_22A,Liu_phospholipids_P4,Liu_phospholipids_22A2P4,2
Liu_phospholipids_22A,Liu_phospholipids_P4,Liu_phospholipids_22A3P4,3
Liu_phospholipids_23A,Liu_phospholipids_P4,Liu_phospholipids_23A2P4,2
Liu_phospholipids_23A,Liu_phospholipids_P4,Liu_phospholipids_23A3P4,3
Liu_phospholipids_23A,Liu_phospholipids_P4,Liu_phospholipids_23A4P4,4
Liu_phospholipids_24A,Liu_phospholipids_P4,Liu_phospholipids_24A2P4,2
Liu_phospholipids_24A,Liu_phospholipids_P4,Liu_phospholipids_24A3P4,3
Liu_phospholipids_24A,Liu_phospholipids_P4,Liu_phospholipids_24A4P4,4
Liu_phospholipids_25A,Liu_phospholipids_P4,Liu_phospholipids_25A2P4,2
Liu_phospholipids_25A,Liu_phospholipids_P4,Liu_phospholipids_25A3P4,3
Liu_phospholipids_25A,Liu_phospholipids_P4,Liu_phospholipids_25A4P4,4
Liu_phospholipids_26A,Liu_phospholipids_P4,Liu_phospholipids_26A2P4,2
Liu_phospholipids_26A,Liu_phospholipids_P4,Liu_phospholipids_26A3P4,3
Liu_phospholipids_26A,Liu_phospholipids_P4,Liu_phospholipids_26A4P4,4
Liu_phospholipids_27A,Liu_phospholipids_P4,Liu_phospholipids_27A2P4,2
Liu_phospholipids_27A,Liu_phospholipids_P4,Liu_phospholipids_27A3P4,3
Liu_phospholipids_27A,Liu_phospholipids_P4,Liu_phospholipids_27A4P4,4
Liu_phospholipids_28A,Liu_phospholipids_P4,Liu_phospholipids_28A2P4,2
Liu_phospholipids_28A,Liu_phospholipids_P4,Liu_phospholipids_28A3P4,3
Liu_phospholipids_1A,Liu_phospholipids_P5,Liu_phospholipids_1A1P5,1
Liu_phospholipids_2A,Liu_phospholipids_P5,Liu_phospholipids_2A1P5,1
Liu_phospholipids_3A,Liu_phospholipids_P5,Liu_phospholipids_3A1P5,1
Liu_phospholipids_4A,Liu_phospholipids_P5,Liu_phospholipids_4A1P5,1
Liu_phospholipids_5A,Liu_phospholipids_P5,Liu_phospholipids_5A1P5,1
Liu_phospholipids_6A,Liu_phospholipids_P5,Liu_phospholipids_6A1P5,1
Liu_phospholipids_7A,Liu_phospholipids_P5,Liu_phospholipids_7A1P5,1
Liu_phospholipids_8A,Liu_phospholipids_P5,Liu_phospholipids_8A1P5,1
Liu_phospholipids_9A,Liu_phospholipids_P5,Liu_phospholipids_9A1P5,1
Liu_phospholipids_13A,Liu_phospholipids_P5,Liu_phospholipids_13A1P5,1
Liu_phospholipids_22A,Liu_phospholipids_P5,Liu_phospholipids_22A3P5,3
Liu_phospholipids_24A,Liu_phospholipids_P5,Liu_phospholipids_24A2P5,2
Liu_phospholipids_25A,Liu_phospholipids_P5,Liu_phospholipids_25A2P5,2
Liu_phospholipids_25A,Liu_phospholipids_P5,Liu_phospholipids_25A4P5,4
Liu_phospholipids_26A,Liu_phospholipids_P5,Liu_phospholipids_26A4P5,4
Liu_phospholipids_27A,Liu_phospholipids_P5,Liu_phospholipids_27A4P5,4
Liu_phospholipids_28A,Liu_phospholipids_P5,Liu_phospholipids_28A5P5,5
Liu_phospholipids_1A,Liu_phospholipids_P6,Liu_phospholipids_1A1P6,1
Liu_phospholipids_2A,Liu_phospholipids_P6,Liu_phospholipids_2A1P6,1
Liu_phospholipids_3A,Liu_phospholipids_P6,Liu_phospholipids_3A1P6,1
Liu_phospholipids_4A,Liu_phospholipids_P6,Liu_phospholipids_4A1P6,1
Liu_phospholipids_5A,Liu_phospholipids_P6,Liu_phospholipids_5A1P6,1
Liu_phospholipids_7A,Liu_phospholipids_P6,Liu_phospholipids_7A1P6,1
Liu_phospholipids_8A,Liu_phospholipids_P6,Liu_phospholipids_8A1P6,1
Liu_phospholipids_9A,Liu_phospholipids_P6,Liu_phospholipids_9A1P6,1
Liu_phospholipids_16A,Liu_phospholipids_P6,Liu_phospholipids_16A1P6,1
Liu_phospholipids_19A,Liu_phospholipids_P6,Liu_phospholipids_19A2P6,2
Liu_phospholipids_20A,Liu_phospholipids_P6,Liu_phospholipids_20A2P6,2
Liu_phospholipids_21A,Liu_phospholipids_P6,Liu_phospholipids_21A2P6,2
Liu_phospholipids_21A,Liu_phospholipids_P6,Liu_phospholipids_21A3P6,3
Liu_phospholipids_22A,Liu_phospholipids_P6,Liu_phospholipids_22A2P6,2
Liu_phospholipids_22A,Liu_phospholipids_P6,Liu_phospholipids_22A3P6,3
Liu_phospholipids_23A,Liu_phospholipids_P6,Liu_phospholipids_23A2P6,2
Liu_phospholipids_24A,Liu_phospholipids_P6,Liu_phospholipids_24A2P6,2
Liu_phospholipids_25A,Liu_phospholipids_P6,Liu_phospholipids_25A2P6,2
Liu_phospholipids_25A,Liu_phospholipids_P6,Liu_phospholipids_25A3P6,3
Liu_phospholipids_25A,Liu_phospholipids_P6,Liu_phospholipids_25A4P6,4
Liu_phospholipids_26A,Liu_phospholipids_P6,Liu_phospholipids_26A2P6,2
Liu_phospholipids_26A,Liu_phospholipids_P6,Liu_phospholipids_26A3P6,3
Liu_phospholipids_27A,Liu_phospholipids_P6,Liu_phospholipids_27A2P6,2
Liu_phospholipids_28A,Liu_phospholipids_P6,Liu_phospholipids_28A2P6,2
Liu_phospholipids_28A,Liu_phospholipids_P6,Liu_phospholipids_28A4P6,4
Liu_phospholipids_1A,Liu_phospholipids_P7,Liu_phospholipids_1A1P7,1
Liu_phospholipids_2A,Liu_phospholipids_P7,Liu_phospholipids_2A1P7,1
Liu_phospholipids_3A,Liu_phospholipids_P7,Liu_phospholipids_3A1P7,1
Liu_phospholipids_4A,Liu_phospholipids_P7,Liu_phospholipids_4A1P7,1
Liu_phospholipids_6A,Liu_phospholipids_P7,Liu_phospholipids_6A1P7,1
Liu_phospholipids_7A,Liu_phospholipids_P7,Liu_phospholipids_7A1P7,1
Liu_phospholipids_8A,Liu_phospholipids_P7,Liu_phospholipids_8A1P7,1
Liu_phospholipids_13A,Liu_phospholipids_P7,Liu_phospholipids_13A1P7,1
Liu_phospholipids_16A,Liu_phospholipids_P7,Liu_phospholipids_16A1P7,1
Liu_phospholipids_17A,Liu_phospholipids_P7,Liu_phospholipids_17A1P7,1
Liu_phospholipids_20A,Liu_phospholipids_P7,Liu_phospholipids_20A2P7,2
Liu_phospholipids_21A,Liu_phospholipids_P7,Liu_phospholipids_21A2P7,2
Liu_phospholipids_21A,Liu_phospholipids_P7,Liu_phospholipids_21A3P7,3
Liu_phospholipids_22A,Liu_phospholipids_P7,Liu_phospholipids_22A3P7,3
Liu_phospholipids_23A,Liu_phospholipids_P7,Liu_phospholipids_23A3P7,3
Liu_phospholipids_23A,Liu_phospholipids_P7,Liu_phospholipids_23A4P7,4
Liu_phospholipids_24A,Liu_phospholipids_P7,Liu_phospholipids_24A2P7,2
Liu_phospholipids_24A,Liu_phospholipids_P7,Liu_phospholipids_24A3P7,3
Liu_phospholipids_24A,Liu_phospholipids_P7,Liu_phospholipids_24A4P7,4
Liu_phospholipids_25A,Liu_phospholipids_P7,Liu_phospholipids_25A2P7,2
Liu_phospholipids_25A,Liu_phospholipids_P7,Liu_phospholipids_25A3P7,3
Liu_phospholipids_25A,Liu_phospholipids_P7,Liu_phospholipids_25A4P7,4
Liu_phospholipids_26A,Liu_phospholipids_P7,Liu_phospholipids_26A2P7,2
Liu_phospholipids_26A,Liu_phospholipids_P7,Liu_phospholipids_26A4P7,4
Liu_phospholipids_27A,Liu_phospholipids_P7,Liu_phospholipids_27A2P7,2
Liu_phospholipids_27A,Liu_phospholipids_P7,Liu_phospholipids_27A3P7,3
Liu_phospholipids_27A,Liu_phospholipids_P7,Liu_phospholipids_27A4P7,4
Liu_phospholipids_28A,Liu_phospholipids_P7,Liu_phospholipids_28A2P7,2
Liu_phospholipids_28A,Liu_phospholipids_P7,Liu_phospholipids_28A3P7,3
Liu_phospholipids_28A,Liu_phospholipids_P7,Liu_phospholipids_28A4P7,4
Liu_phospholipids_28A,Liu_phospholipids_P7,Liu_phospholipids_28A5P7,5
Liu_phospholipids_1A,Liu_phospholipids_P8,Liu_phospholipids_1A1P8,1
Liu_phospholipids_2A,Liu_phospholipids_P8,Liu_phospholipids_2A1P8,1
Liu_phospholipids_3A,Liu_phospholipids_P8,Liu_phospholipids_3A1P8,1
Liu_phospholipids_4A,Liu_phospholipids_P8,Liu_phospholipids_4A1P8,1
Liu_phospholipids_5A,Liu_phospholipids_P8,Liu_phospholipids_5A1P8,1
Liu_phospholipids_7A,Liu_phospholipids_P8,Liu_phospholipids_7A1P8,1
Liu_phospholipids_8A,Liu_phospholipids_P8,Liu_phospholipids_8A1P8,1
Liu_phospholipids_9A,Liu_phospholipids_P8,Liu_phospholipids_9A1P8,1
Liu_phospholipids_10A,Liu_phospholipids_P8,Liu_phospholipids_10A1P8,1
Liu_phospholipids_11A,Liu_phospholipids_P8,Liu_phospholipids_11A1P8,1
Liu_phospholipids_13A,Liu_phospholipids_P8,Liu_phospholipids_13A1P8,1
Liu_phospholipids_15A,Liu_phospholipids_P8,Liu_phospholipids_15A1P8,1
Liu_phospholipids_16A,Liu_phospholipids_P8,Liu_phospholipids_16A1P8,1
Liu_phospholipids_17A,Liu_phospholipids_P8,Liu_phospholipids_17A1P8,1
Liu_phospholipids_18A,Liu_phospholipids_P8,Liu_phospholipids_18A1P8,1
Liu_phospholipids_19A,Liu_phospholipids_P8,Liu_phospholipids_19A2P8,2
Liu_phospholipids_22A,Liu_phospholipids_P8,Liu_phospholipids_22A2P8,2
Liu_phospholipids_22A,Liu_phospholipids_P8,Liu_phospholipids_22A3P8,3
Liu_phospholipids_23A,Liu_phospholipids_P8,Liu_phospholipids_23A2P8,2
Liu_phospholipids_23A,Liu_phospholipids_P8,Liu_phospholipids_23A3P8,3
Liu_phospholipids_23A,Liu_phospholipids_P8,Liu_phospholipids_23A4P8,4
Liu_phospholipids_24A,Liu_phospholipids_P8,Liu_phospholipids_24A2P8,2
Liu_phospholipids_24A,Liu_phospholipids_P8,Liu_phospholipids_24A3P8,3
Liu_phospholipids_25A,Liu_phospholipids_P8,Liu_phospholipids_25A2P8,2
Liu_phospholipids_25A,Liu_phospholipids_P8,Liu_phospholipids_25A3P8,3
Liu_phospholipids_25A,Liu_phospholipids_P8,Liu_phospholipids_25A4P8,4
Liu_phospholipids_27A,Liu_phospholipids_P8,Liu_phospholipids_27A4P8,4
Liu_phospholipids_28A,Liu_phospholipids_P8,Liu_phospholipids_28A2P8,2
Liu_phospholipids_28A,Liu_phospholipids_P8,Liu_phospholipids_28A3P8,3
Liu_phospholipids_28A,Liu_phospholipids_P8,Liu_phospholipids_28A4P8,4
Liu_phospholipids_1A,Liu_phospholipids_P9,Liu_phospholipids_1A1P9,1
Liu_phospholipids_2A,Liu_phospholipids_P9,Liu_phospholipids_2A1P9,1
Liu_phospholipids_3A,Liu_phospholipids_P9,Liu_phospholipids_3A1P9,1
Liu_phospholipids_4A,Liu_phospholipids_P9,Liu_phospholipids_4A1P9,1
Liu_phospholipids_5A,Liu_phospholipids_P9,Liu_phospholipids_5A1P9,1
Liu_phospholipids_6A,Liu_phospholipids_P9,Liu_phospholipids_6A1P9,1
Liu_phospholipids_7A,Liu_phospholipids_P9,Liu_phospholipids_7A1P9,1
Liu_phospholipids_8A,Liu_phospholipids_P9,Liu_phospholipids_8A1P9,1
Liu_phospholipids_13A,Liu_phospholipids_P9,Liu_phospholipids_13A1P9,1
Liu_phospholipids_14A,Liu_phospholipids_P9,Liu_phospholipids_14A1P9,1
Liu_phospholipids_15A,Liu_phospholipids_P9,Liu_phospholipids_15A1P9,1
Liu_phospholipids_17A,Liu_phospholipids_P9,Liu_phospholipids_17A1P9,1
Liu_phospholipids_20A,Liu_phospholipids_P9,Liu_phospholipids_20A2P9,2
Liu_phospholipids_20A,Liu_phospholipids_P9,Liu_phospholipids_20A3P9,3
Liu_phospholipids_21A,Liu_phospholipids_P9,Liu_phospholipids_21A2P9,2
Liu_phospholipids_21A,Liu_phospholipids_P9,Liu_phospholipids_21A3P9,3
Liu_phospholipids_22A,Liu_phospholipids_P9,Liu_phospholipids_22A2P9,2
Liu_phospholipids_22A,Liu_phospholipids_P9,Liu_phospholipids_22A3P9,3
Liu_phospholipids_24A,Liu_phospholipids_P9,Liu_phospholipids_24A2P9,2
Liu_phospholipids_24A,Liu_phospholipids_P9,Liu_phospholipids_24A3P9,3
Liu_phospholipids_24A,Liu_phospholipids_P9,Liu_phospholipids_24A4P9,4
Liu_phospholipids_25A,Liu_phospholipids_P9,Liu_phospholipids_25A2P9,2
Liu_phospholipids_26A,Liu_phospholipids_P9,Liu_phospholipids_26A4P9,4
Liu_phospholipids_27A,Liu_phospholipids_P9,Liu_phospholipids_27A2P9,2
Liu_phospholipids_28A,Liu_phospholipids_P9,Liu_phospholipids_28A2P9,2
Liu_phospholipids_28A,Liu_phospholipids_P9,Liu_phospholipids_28A4P9,4
Liu_phospholipids_1A,Liu_phospholipids_P10,Liu_phospholipids_1A1P10,1
Liu_phospholipids_2A,Liu_phospholipids_P10,Liu_phospholipids_2A1P10,1
Liu_phospholipids_3A,Liu_phospholipids_P10,Liu_phospholipids_3A1P10,1
Liu_phospholipids_4A,Liu_phospholipids_P10,Liu_phospholipids_4A1P10,1
Liu_phospholipids_5A,Liu_phospholipids_P10,Liu_phospholipids_5A1P10,1
Liu_phospholipids_7A,Liu_phospholipids_P10,Liu_phospholipids_7A1P10,1
Liu_phospholipids_8A,Liu_phospholipids_P10,Liu_phospholipids_8A1P10,1
Liu_phospholipids_13A,Liu_phospholipids_P10,Liu_phospholipids_13A1P10,1
Liu_phospholipids_15A,Liu_phospholipids_P10,Liu_phospholipids_15A1P10,1
Liu_phospholipids_19A,Liu_phospholipids_P10,Liu_phospholipids_19A2P10,2
Liu_phospholipids_20A,Liu_phospholipids_P10,Liu_phospholipids_20A2P10,2
Liu_phospholipids_21A,Liu_phospholipids_P10,Liu_phospholipids_21A2P10,2
Liu_phospholipids_21A,Liu_phospholipids_P10,Liu_phospholipids_21A3P10,3
Liu_phospholipids_22A,Liu_phospholipids_P10,Liu_phospholipids_22A2P10,2
Liu_phospholipids_22A,Liu_phospholipids_P10,Liu_phospholipids_22A3P10,3
Liu_phospholipids_23A,Liu_phospholipids_P10,Liu_phospholipids_23A3P10,3
Liu_phospholipids_23A,Liu_phospholipids_P10,Liu_phospholipids_23A4P10,4
Liu_phospholipids_24A,Liu_phospholipids_P10,Liu_phospholipids_24A2P10,2
Liu_phospholipids_24A,Liu_phospholipids_P10,Liu_phospholipids_24A3P10,3
Liu_phospholipids_25A,Liu_phospholipids_P10,Liu_phospholipids_25A4P10,4
Liu_phospholipids_26A,Liu_phospholipids_P10,Liu_phospholipids_26A2P10,2
Liu_phospholipids_26A,Liu_phospholipids_P10,Liu_phospholipids_26A4P10,4
Liu_phospholipids_28A,Liu_phospholipids_P10,Liu_phospholipids_28A3P10,3
Liu_phospholipids_28A,Liu_phospholipids_P10,Liu_phospholipids_28A4P10,4
Liu_phospholipids_1A,Liu_phospholipids_P11,Liu_phospholipids_1A1P11,1
Liu_phospholipids_2A,Liu_phospholipids_P11,Liu_phospholipids_2A1P11,1
Liu_phospholipids_3A,Liu_phospholipids_P11,Liu_phospholipids_3A1P11,1
Liu_phospholipids_4A,Liu_phospholipids_P11,Liu_phospholipids_4A1P11,1
Liu_phospholipids_5A,Liu_phospholipids_P11,Liu_phospholipids_5A1P11,1
Liu_phospholipids_15A,Liu_phospholipids_P11,Liu_phospholipids_15A1P11,1
Liu_phospholipids_17A,Liu_phospholipids_P11,Liu_phospholipids_17A1P11,1
Liu_phospholipids_23A,Liu_phospholipids_P11,Liu_phospholipids_23A3P11,3
Liu_phospholipids_24A,Liu_phospholipids_P11,Liu_phospholipids_24A2P11,2
Liu_phospholipids_24A,Liu_phospholipids_P11,Liu_phospholipids_24A3P11,3
